Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
"113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1501.22 is over the calibration range103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 78.77 is outside the allowed range [80.00, 120.00]",FALSE,153SMPL.d,12/19/21 12:11 AM,,Sample,,qwt4_3_50-10,,0.064,2.4,,,0.002,4.6,1501.217,25,35.226,0.8,0.004,7.7,0.001,17.8,0.001,78.7,0.002,25.5,0.002,18.9,22.661,0.1,22.396,0.8,0.004,13.2,0.001,21.5,0.001,62.1,0.001,25.2,<0.000,N/A,0.004,8.9,21.212,0.4,0.001,36.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,154SMPL.d,12/19/21 12:16 AM,,Sample,,qwt4_3_50-30,,0.063,4.9,,,0.003,7,1200.974,43.3,124.059,0.3,0.005,11,0.001,25.3,0.001,66.7,0.002,5.9,0.001,5.6,97.125,1.1,96.048,0.9,0.012,9,0.001,16.8,0.001,33.3,0.001,22,<0.000,N/A,0.016,4.8,120.032,2.3,0.002,9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,155SMPL.d,12/19/21 12:21 AM,,Sample,,cal check 100 #3,,84.614,1,,,85.31,0.9,1321.071,56.8,88.032,1.1,88.425,1.1,88.929,0.5,91.421,0.4,90.493,0.8,92.708,1.3,89.641,1.6,88.984,1.3,92.231,0.4,89.442,0.9,92.7,1.6,89.687,1.3,90.73,0.3,90.911,0.3,93.344,1,90.659,0.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,156SMPL.d,12/19/21 12:25 AM,,Sample,,blank,,0.178,1.1,,,0.003,15.1,1140.925,50.8,0.021,12.3,0.004,18.1,0.003,12.6,0.002,37.7,0.004,7.7,0.003,22.6,0.017,21.8,0.017,9.5,0.003,8.8,0.003,12.2,0.003,16.2,0.003,15.2,<0.000,N/A,0.003,14,0.021,12.9,0.003,14.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 13031.53 is over the calibration range,FALSE,157SMPL.d,12/19/21 12:30 AM,,Sample,,wt1,,0.579,1,,,23.135,0.9,13031.527,8,99.685,1.1,303.864,0.6,24.451,0.7,83.433,0.6,93.615,0.3,13.74,0.8,1.179,0.3,1.191,1.1,11.948,0.3,1.33,0.4,5.935,1,1.045,0.3,2.103,0.3,0.328,1,1.957,1.1,0.273,1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 13151.56 is over the calibration range,FALSE,158SMPL.d,12/19/21 12:35 AM,,Sample,,wt2,,0.527,0.9,,,23.54,0.2,13151.564,13.9,101.141,0.3,305.678,0.7,24.693,0.7,84.5,1.7,94.503,1,13.913,0.9,1.192,1.2,1.201,2.3,12.098,1.4,1.347,0.8,6.08,0.7,1.063,0.6,2.148,1.5,0.332,1,1.983,2,0.279,2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 12130.68 is over the calibration range,FALSE,159SMPL.d,12/19/21 12:40 AM,,Sample,,wt3,,0.521,0.9,,,24.199,0.2,12130.676,7.5,101.71,0.7,313.213,1.2,24.872,1.5,85.851,2,95.944,1.1,14.162,1.1,1.221,0.8,1.227,1.2,12.349,1.1,1.389,0.9,6.249,0.9,1.099,0.3,2.221,1.3,0.346,0.5,2.039,0.4,0.287,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 14112.40 is over the calibration range,FALSE,160SMPL.d,12/19/21 12:45 AM,,Sample,,dB1,,0.539,1,,,27.501,1.3,14112.403,14.8,115.786,0.9,380.621,0.4,28.64,1.3,97.755,1.3,109.356,1.4,16.077,0.2,1.368,1,1.357,0.2,14.019,0.7,1.569,0.4,6.941,0.2,1.229,1.5,2.58,0.7,0.385,1,2.277,0.9,0.323,1.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 14172.45 is over the calibration range,FALSE,161SMPL.d,12/19/21 12:50 AM,,Sample,,dB2,,0.52,0.8,,,26.922,1.2,14172.452,4.8,116.409,0.7,377.404,1.2,28.502,1.8,97.277,0.4,109.273,1.1,15.996,0.4,1.372,1.7,1.359,1.3,13.841,0.8,1.548,1,6.925,0.7,1.212,0.6,2.505,0.8,0.38,0.3,2.27,0.2,0.318,1,,
45  Sc  [ No Gas ] :  CPS RSD value = 11.53 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 14953.20 is over the calibration range,FALSE,162SMPL.d,12/19/21 12:55 AM,,Sample,,dB3,,0.549,11.5,,,26.976,0.4,14953.205,6,114.599,1.2,376.046,0.6,28.328,0.5,97.78,0.4,108.79,1.1,15.983,0.4,1.373,1.1,1.383,1.4,13.873,1.3,1.56,0.4,6.988,0.9,1.229,1.1,2.585,1.8,0.385,1.6,2.265,0.8,0.319,1.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 14412.71 is over the calibration range,FALSE,163SMPL.d,12/19/21 01:00 AM,,Sample,,dS1,,0.557,4,,,27.454,0.5,14412.707,11.5,119.698,0.7,393.724,0.6,29.266,0.7,100.358,0.5,113.056,0.5,16.436,0.3,1.395,1,1.399,0.9,14.257,0.5,1.586,0.5,7.079,0.8,1.238,0.3,2.611,0.6,0.392,0.5,2.339,0.8,0.327,0.3,,
45  Sc  [ No Gas ] :  CPS RSD value = 6.06 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 15073.30 is over the calibration range,FALSE,164SMPL.d,12/19/21 01:05 AM,,Sample,,dS2,,0.554,6.1,,,27.457,1.4,15073.302,12,119.099,1.1,389.263,0.6,29.327,0.8,100.422,1,111.611,0.9,16.411,0.7,1.394,0.4,1.411,1.3,14.261,0.9,1.588,1.3,7.1,1.5,1.245,1.3,2.625,0.7,0.39,0.8,2.31,0.2,0.325,0.5,,
45  Sc  [ No Gas ] :  CPS RSD value = 6.87 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 16034.14 is over the calibration range,FALSE,165SMPL.d,12/19/21 01:10 AM,,Sample,,dS3,,0.536,6.9,,,27.365,1.7,16034.141,9.7,118.032,0.9,385.319,0.6,29.047,1.4,99.565,0.8,110.22,1.5,16.312,0.5,1.382,0.8,1.372,0.3,14.068,0.6,1.572,1.1,6.998,1,1.231,0.6,2.581,0.4,0.386,0.4,2.289,0.4,0.321,0.9,,
45  Sc  [ No Gas ] :  CPS RSD value = 12.50 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 14112.34 is over the calibration range,FALSE,166SMPL.d,12/19/21 01:15 AM,,Sample,,PM1,,0.559,12.5,,,27.385,0.8,14112.343,3.7,112.358,0.7,374.43,0.3,27.592,0.5,94.911,0.3,105.882,0.8,15.722,0.3,1.346,0.8,1.348,0.6,13.74,0.8,1.537,1,6.969,0.3,1.225,0.6,2.564,1.2,0.386,0.4,2.273,0.5,0.321,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,167SMPL.d,12/19/21 01:20 AM,,Sample,,cal check 10 #4,,7.93,0.5,,,8.381,0.2,720.584,66.1,8.739,0.3,8.763,0.1,8.772,0.5,8.705,0.8,8.828,0.2,8.736,0.4,8.807,0.2,8.768,0.6,8.74,0.6,8.822,0.4,8.772,0.3,8.857,0.4,8.229,0.4,8.945,0.2,8.852,0.5,8.979,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1441.17 is over the calibration range,FALSE,168SMPL.d,12/19/21 01:25 AM,,Sample,,blank,,0.109,3.4,,,0.002,9.9,1441.169,33.1,0.016,11.6,0.009,6.6,0.002,2,0.004,30.1,0.004,22.7,0.002,23.1,0.01,8.2,0.011,16.2,0.002,32.8,0.002,6.1,0.001,31.6,0.002,15.8,<0.000,N/A,0.001,6.6,0.014,18.2,0.002,14.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 14472.76 is over the calibration range,FALSE,169SMPL.d,12/19/21 01:30 AM,,Sample,,PM2,,0.518,1.1,,,26.824,0.5,14472.755,1.9,110.111,1.5,370.379,1.1,27.419,2.5,93.928,0.3,105.39,0.7,15.531,0.6,1.331,1.5,1.33,1.1,13.552,0.6,1.525,0.4,6.846,0.3,1.207,0.9,2.526,0.1,0.377,0.2,2.252,0.3,0.316,0.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 15253.33 is over the calibration range,FALSE,170SMPL.d,12/19/21 01:35 AM,,Sample,,PM3,,0.526,3.2,,,27.175,0.9,15253.328,0.7,111.664,1.4,376.389,1.2,27.386,1.1,94.366,0.6,106.364,0.7,15.668,0.5,1.35,0.5,1.358,1.8,13.688,0.5,1.535,0.8,6.916,0.7,1.221,0.7,2.56,0.7,0.383,1.9,2.285,1.5,0.321,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 3362.91 is over the calibration range,FALSE,171SMPL.d,12/19/21 01:40 AM,,Sample,,dM1,,0.298,1.4,,,0.952,0.4,3362.907,3.1,4.527,0.2,4.952,0.8,1.002,0.7,3.882,0.4,4.341,0.7,0.612,1.4,0.067,4.3,0.068,11.2,0.505,0.2,0.051,1.2,0.209,1.5,0.039,2.2,<0.000,N/A,0.013,4.1,0.085,1.5,0.013,2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 5044.33 is over the calibration range,FALSE,172SMPL.d,12/19/21 01:45 AM,,Sample,,dM2,,0.307,0.5,,,0.948,0.7,5044.33,22.3,4.506,1,4.908,0.9,0.996,0.9,3.9,1.1,4.3,1.3,0.609,3.2,0.069,10.2,0.071,1.3,0.504,1.8,0.051,1.5,0.213,1.9,0.039,3.1,<0.000,N/A,0.013,4.5,0.089,4.3,0.014,4.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 3603.10 is over the calibration range,FALSE,173SMPL.d,12/19/21 01:50 AM,,Sample,,dM3,,0.31,2.7,,,0.949,1,3603.102,13.2,4.475,0.5,4.914,0.6,0.993,0.7,3.88,0.8,4.286,1,0.617,1.1,0.07,2.1,0.068,4.3,0.505,2,0.052,1.6,0.207,0.5,0.039,0.9,<0.000,N/A,0.013,1.2,0.085,2.9,0.013,4,,
45  Sc  [ No Gas ] :  CPS RSD value = 5.65 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1981.61 is over the calibration range,FALSE,174SMPL.d,12/19/21 01:55 AM,,Sample,,NB1,,0.35,5.6,,,0.486,0.5,1981.607,18.2,3.561,1.6,4.9,2.5,0.747,0.7,2.567,2.8,2.851,2.1,0.386,3.4,0.036,0.7,0.035,4.6,0.307,3.2,0.031,4.3,0.123,2,0.021,1.9,<0.000,N/A,0.006,13,0.038,6.5,0.006,6.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2342.02 is over the calibration range,FALSE,175SMPL.d,12/19/21 02:01 AM,,Sample,,NB2,,0.313,2.7,,,0.456,2,2342.019,30.8,3.238,0.7,4.554,0.4,0.69,0.8,2.359,0.8,2.669,1.2,0.357,1.3,0.034,5.5,0.036,10.1,0.284,1.5,0.029,1.3,0.112,3.2,0.019,2.3,<0.000,N/A,0.006,6.1,0.037,2.4,0.006,4.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2161.87 is over the calibration range,FALSE,176SMPL.d,12/19/21 02:06 AM,,Sample,,NB3,,0.296,1.6,,,0.331,1.1,2161.873,30,2.106,1.2,2.656,1.8,0.444,1.9,1.541,1,1.694,0.2,0.23,1.6,0.027,2.8,0.03,2.1,0.19,3.1,0.02,1.7,0.081,3.5,0.014,3.6,<0.000,N/A,0.004,9,0.03,5.3,0.005,6.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 16.99 is over the allowed maximum = 5.00,FALSE,177SMPL.d,12/19/21 02:11 AM,,Sample,,blank,,0.091,3.4,,,0.002,14.7,720.584,43.3,0.012,26.1,0.008,27.7,0.002,11.2,0.003,32.8,0.004,18.9,0.001,14.4,0.007,36.8,0.007,32.5,0.001,28.5,0.001,22,0.001,19.7,0.001,24.5,<0.000,N/A,0.001,8,0.009,38.4,0.001,24.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,178SMPL.d,12/19/21 02:16 AM,,Sample,,blank,,0.09,1.5,,,0.002,9.1,780.633,13.3,0.014,26,0.01,13.2,0.002,30.9,0.002,40.8,0.003,28.6,0.001,43.5,0.009,26,0.009,23.7,0.001,24.7,0.001,5.2,0.001,23.6,0.001,24.7,<0.000,N/A,0.001,19.6,0.011,10.9,0.001,24.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,179SMPL.d,12/19/21 02:21 AM,,Sample,,blank,,0.088,1.7,,,0.002,18.7,1140.925,24.1,0.017,26.4,0.01,25.1,0.002,31,0.005,30.8,0.004,31.9,0.002,39.8,0.011,17.6,0.013,36.2,0.002,19.6,0.001,28.8,0.002,46.1,0.001,13.5,<0.000,N/A,0.001,26.6,0.013,23.4,0.001,19.3,,
