Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(4, 6)",610,0.2754,477,44
"(4, 6)",620,0.2397,478,44
"(4, 6)",630,0.2113,479,44
"(4, 6)",640,0.2172,480,44
"(4, 6)",650,0.251,481,44
"(4, 6)",660,0.2473,482,44
"(4, 6)",670,0.1786,483,44
"(4, 6)",680,0.1049,484,44
"(5, 6)",580,0.2815,485,45
"(5, 6)",590,0.2137,486,45
"(5, 6)",600,0.1591,487,45
"(5, 6)",610,0.1239,488,45
"(5, 6)",620,0.1014,489,45
"(5, 6)",630,0.0885,490,45
"(5, 6)",640,0.0832,491,45
"(5, 6)",650,0.0811,492,45
"(5, 6)",660,0.07,493,45
"(5, 6)",670,0.0475,494,45
"(5, 6)",680,0.0272,495,45
"(6, 6)",580,0.2838,496,46
"(6, 6)",590,0.2742,497,46
"(6, 6)",600,0.2788,498,46
"(6, 6)",610,0.2722,499,46
"(6, 6)",620,0.2371,500,46
"(6, 6)",630,0.2094,501,46
"(6, 6)",640,0.2159,502,46
"(6, 6)",650,0.2492,503,46
"(6, 6)",660,0.2454,504,46
"(6, 6)",670,0.1768,505,46
"(6, 6)",680,0.1037,506,46
"(7, 6)",580,0.285,507,47
"(7, 6)",590,0.2198,508,47
"(7, 6)",600,0.1679,509,47
"(7, 6)",610,0.1331,510,47
"(7, 6)",620,0.1106,511,47
"(7, 6)",630,0.0966,512,47
"(7, 6)",640,0.0926,513,47
"(7, 6)",650,0.0932,514,47
"(7, 6)",660,0.0825,515,47
"(7, 6)",670,0.0561,516,47
"(7, 6)",680,0.0321,517,47
"(8, 6)",580,0.2839,518,48
"(8, 6)",590,0.2751,519,48
"(8, 6)",600,0.2808,520,48
"(8, 6)",610,0.2747,521,48
"(8, 6)",620,0.2394,522,48
"(8, 6)",630,0.2113,523,48
"(8, 6)",640,0.217,524,48
"(8, 6)",650,0.2509,525,48
"(8, 6)",660,0.2473,526,48
"(8, 6)",670,0.1783,527,48
"(8, 6)",680,0.1048,528,48
"(1, 7)",580,0.2847,529,49
"(1, 7)",590,0.2747,530,49
"(1, 7)",600,0.2798,531,49
"(1, 7)",610,0.2729,532,49
"(1, 7)",620,0.2379,533,49
"(1, 7)",630,0.2101,534,49
"(1, 7)",640,0.2168,535,49
"(1, 7)",650,0.2506,536,49
"(1, 7)",660,0.2458,537,49
"(1, 7)",670,0.1768,538,49
"(1, 7)",680,0.1037,539,49
"(2, 7)",580,0.2836,540,50
"(2, 7)",590,0.2229,541,50
"(2, 7)",600,0.1748,542,50
"(2, 7)",610,0.1417,543,50
"(2, 7)",620,0.1184,544,50
"(2, 7)",630,0.1045,545,50
"(2, 7)",640,0.1017,546,50
"(2, 7)",650,0.1052,547,50
"(2, 7)",660,0.0945,548,50
"(2, 7)",670,0.0648,549,50
"(2, 7)",680,0.0369,550,50
"(3, 7)",580,0.2846,551,51
"(3, 7)",590,0.2745,552,51
"(3, 7)",600,0.2781,553,51
"(3, 7)",610,0.271,554,51
"(3, 7)",620,0.2361,555,51
"(3, 7)",630,0.2086,556,51
